                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4269,                 2.9489,                 1.8313,                 0.0059,                0.97214,                0.48154,                  0.224,                 1.3225,                 3.2861,                 2.0576,             0.00053979,             0.00053979,             0.00053979
                      2,                 1.3784,                 2.5181,                  1.802,                0.58901,                0.32051,                0.26176,                0.11387,                 2.1049,                 3.5489,                 2.8337,              0.0010846,              0.0010846,              0.0010846
                      3,                 1.4864,                 2.4375,                 1.8555,                0.15531,                0.28793,                0.15289,                0.05993,                 2.4335,                 8.2554,                 3.2889,              0.0016184,              0.0016184,              0.0016184
                      4,                 1.4653,                 2.1764,                 1.8425,                0.27895,                0.23607,                0.18168,                0.10145,                 2.4014,                 9.3727,                 3.2077,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.4603,                  2.118,                 1.8485,                0.25454,                0.51393,                0.21554,                0.09464,                 1.8843,                 5.3238,                 2.7611,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.5048,                 2.0082,                 1.8553,                0.39415,                0.26548,                0.27805,                0.11136,                 2.4164,                 3.3063,                 3.0398,               0.001601,               0.001601,               0.001601
                      7,                 1.4708,                 1.9369,                 1.8271,                0.53052,                0.15867,                0.18279,                0.06954,                 1.9894,                 3.7351,                 2.8822,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.4411,                 1.8376,                 1.8272,                0.30035,                0.64087,                0.34998,                0.12734,                 1.8192,                 3.2235,                 2.5087,               0.001568,               0.001568,               0.001568
                      9,                 1.4198,                 1.7259,                 1.8231,                0.36791,                0.52167,                0.39148,                 0.2041,                 1.7891,                 2.2539,                 2.4151,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.4132,                 1.7527,                 1.7782,                0.22058,                0.39628,                0.20037,                 0.0804,                 2.2559,                 3.3011,                  3.246,               0.001535,               0.001535,               0.001535
                     11,                 1.4421,                 1.7394,                 1.8021,                0.48896,                0.56488,                0.51238,                0.26819,                 1.6765,                    2.5,                 2.2595,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.3861,                 1.6744,                 1.7771,                0.57959,                0.32043,                0.24352,                0.12365,                 1.7869,                 3.5051,                 2.3228,               0.001502,               0.001502,               0.001502
                     13,                 1.3163,                 1.5353,                 1.7072,                0.51696,                0.55728,                0.55494,                 0.3211,                 1.4623,                  1.735,                 2.0684,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.3545,                 1.5622,                 1.6961,                0.55291,                0.50852,                0.48117,                0.27062,                 1.5919,                 1.8551,                 2.2117,               0.001469,               0.001469,               0.001469
                     15,                 1.3205,                 1.4473,                 1.7167,                0.66473,                0.78173,                0.75367,                0.38301,                 1.7297,                 1.5578,                 2.3251,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.2911,                 1.4707,                 1.6791,                0.67369,                0.55573,                0.62491,                0.37338,                 1.5009,                 1.5831,                 2.1045,               0.001436,               0.001436,               0.001436
                     17,                 1.3037,                 1.4427,                 1.6749,                0.70106,                0.67337,                0.70304,                0.39787,                 1.5201,                 1.5189,                 2.1688,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.3139,                 1.4627,                 1.6675,                0.57691,                0.66807,                0.57507,                0.33841,                 1.3773,                 1.6913,                 2.0434,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.2777,                 1.4066,                 1.6501,                0.46047,                0.55573,                0.46755,                0.25655,                 1.6755,                  2.171,                  2.342,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.2798,                 1.3949,                 1.6704,                0.69323,                0.62496,                0.64909,                0.34421,                  1.661,                 1.6375,                 2.2462,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.2305,                 1.3495,                  1.627,                0.63165,                0.73762,                0.69547,                0.41587,                 1.3956,                 1.3776,                   1.99,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.2558,                 1.3601,                 1.6127,                0.67194,                0.63309,                 0.6932,                0.38246,                 1.5518,                 1.5893,                 2.1096,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.2631,                 1.3496,                 1.6465,                0.67894,                0.64551,                0.65936,                0.35727,                 1.5948,                 1.8158,                 2.2119,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.2275,                 1.3005,                 1.6174,                0.79182,                0.66323,                0.71831,                0.40008,                 1.5761,                 1.5942,                 2.1509,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.2049,                 1.2211,                 1.5773,                0.78054,                0.67544,                0.80243,                0.49967,                 1.3573,                 1.2516,                 1.9604,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.2436,                 1.3253,                 1.6494,                0.70444,                0.78793,                0.73928,                0.41689,                 1.4825,                 1.4269,                 2.0976,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.2294,                 1.3092,                 1.6316,                0.82652,                0.49381,                0.63014,                0.39777,                 1.3235,                  1.825,                 1.9228,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.1933,                 1.2297,                 1.5903,                0.81519,                0.70309,                0.75922,                0.47129,                 1.3063,                 1.3182,                 1.8928,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.1549,                 1.1898,                 1.5773,                0.81264,                0.65703,                0.78276,                0.45835,                 1.4543,                 1.3105,                 2.0778,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.1103,                 1.1325,                 1.5439,                0.65929,                0.62616,                0.61309,                0.35206,                 1.5807,                 1.9201,                 2.1945,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.1815,                 1.1759,                  1.579,                0.60403,                0.69803,                0.64507,                0.33831,                 1.8051,                 1.8838,                 2.4982,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.1516,                 1.1767,                 1.5597,                0.75363,                0.71619,                0.75413,                0.45571,                  1.419,                 1.3954,                 2.0496,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.1436,                 1.1054,                 1.5381,                0.69124,                0.74438,                0.82163,                0.51314,                 1.4512,                 1.2441,                 1.9767,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.1394,                 1.1344,                 1.5687,                0.65758,                0.71981,                0.74577,                0.44659,                 1.3871,                 1.3276,                 1.9452,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.1694,                 1.1745,                 1.5776,                0.72759,                0.72938,                0.77908,                 0.4528,                 1.4178,                 1.2523,                 1.9614,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.1037,                  1.078,                 1.5094,                0.76068,                0.83437,                0.80666,                0.52195,                 1.2571,                 1.1375,                 1.8418,              0.0011059,              0.0011059,              0.0011059
                     37,                  1.083,                 1.0709,                 1.4902,                0.73818,                0.63657,                0.71787,                0.43288,                 1.4817,                 1.5639,                 2.1354,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.1112,                 1.0955,                 1.5161,                0.78438,                0.79489,                0.81408,                0.51712,                 1.3329,                 1.2626,                  1.854,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.0767,                 1.0508,                 1.4954,                0.74619,                0.69969,                0.73708,                0.43005,                 1.5868,                 1.6398,                 2.1671,              0.0010564,              0.0010564,              0.0010564
                     40,                  1.108,                 1.0939,                 1.5309,                0.79025,                0.74923,                  0.832,                0.52918,                 1.3091,                  1.069,                 1.8635,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.1097,                  1.089,                 1.5145,                0.82555,                0.62771,                0.70701,                0.45144,                  1.364,                 1.6241,                 1.9598,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.0848,                 1.0728,                 1.4889,                0.78801,                0.87848,                0.83252,                0.52546,                 1.2562,                 1.1362,                 1.8637,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.0787,                 1.0407,                 1.4873,                0.79458,                0.86342,                0.85799,                0.58407,                 1.1705,                 1.0774,                 1.7075,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.0408,                 1.0035,                  1.478,                0.75885,                0.78328,                0.80767,                0.51884,                 1.1608,                 1.1373,                 1.7567,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.0473,                0.99166,                 1.4688,                0.79775,                0.83066,                0.83564,                 0.5516,                 1.1646,                 1.0669,                 1.7227,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.0874,                 1.0127,                  1.504,                0.73468,                0.83525,                0.85329,                0.58124,                 1.1546,                 0.9935,                 1.6952,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.0412,                 1.0204,                   1.47,                0.75401,                0.76288,                0.76747,                0.53478,                 1.1684,                 1.1291,                 1.7682,             0.00092435,             0.00092435,             0.00092435
                     48,                  1.005,                0.98058,                  1.456,                0.85253,                0.71498,                0.80529,                0.51824,                 1.2867,                 1.1785,                 1.8383,             0.00090785,             0.00090785,             0.00090785
                     49,                  1.024,                0.95766,                 1.4547,                0.85049,                 0.7639,                0.84775,                0.52617,                 1.4023,                 1.0548,                 1.9215,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.0318,                 0.9504,                 1.4697,                0.74416,                0.82121,                0.82091,                0.52458,                 1.2694,                 1.1573,                 1.8052,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.0436,                0.93931,                 1.4588,                0.80012,                0.79408,                0.84359,                  0.587,                 1.1562,                  1.013,                 1.7036,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.0341,                0.94408,                 1.4377,                0.81843,                0.74557,                0.83691,                 0.5719,                 1.1358,                 1.0976,                 1.7401,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.0174,                0.94103,                 1.4246,                0.73141,                0.76548,                0.80533,                0.48872,                 1.3351,                  1.254,                 1.8943,             0.00082533,             0.00082533,             0.00082533
                     54,                0.98261,                0.90263,                  1.424,                 0.8004,                0.78408,                0.84071,                0.57407,                 1.1669,                0.95465,                 1.7011,             0.00080883,             0.00080883,             0.00080883
                     55,                0.96686,                0.90214,                 1.4029,                0.72833,                0.77999,                0.77336,                0.52124,                 1.2116,                 1.1363,                  1.768,             0.00079233,             0.00079233,             0.00079233
                     56,                0.98156,                0.89769,                 1.4226,                0.74343,                0.86529,                0.82784,                0.60472,                  1.076,                 1.0219,                 1.6105,             0.00077582,             0.00077582,             0.00077582
                     57,                 0.9881,                0.87934,                 1.3922,                0.77303,                0.82981,                0.83034,                0.57586,                 1.0547,                0.97895,                 1.6348,             0.00075932,             0.00075932,             0.00075932
                     58,                0.95135,                0.86313,                  1.394,                0.78102,                0.67674,                0.75507,                0.49673,                 1.3288,                 1.3048,                 1.8327,             0.00074282,             0.00074282,             0.00074282
                     59,                0.99763,                0.86487,                 1.4131,                0.75156,                0.86223,                0.81849,                0.52888,                 1.2348,                 1.0849,                 1.7331,             0.00072631,             0.00072631,             0.00072631
                     60,                0.97267,                0.89254,                 1.3913,                0.78338,                0.74548,                0.77242,                0.52561,                 1.1873,                 1.1668,                 1.7549,             0.00070981,             0.00070981,             0.00070981
                     61,                 0.9849,                0.85483,                 1.4134,                0.84864,                0.76393,                 0.7861,                0.53244,                 1.1524,                 1.1469,                 1.7003,             0.00069331,             0.00069331,             0.00069331
                     62,                0.98096,                0.89866,                 1.4286,                0.83448,                 0.7918,                0.85583,                0.59182,                 1.1858,                 1.0113,                 1.7073,              0.0006768,              0.0006768,              0.0006768
                     63,                0.94252,                 0.8816,                 1.3677,                 0.8158,                0.71641,                0.75861,                0.47571,                 1.2842,                 1.2694,                 1.8471,              0.0006603,              0.0006603,              0.0006603
                     64,                0.92712,                0.84215,                 1.3639,                0.84328,                0.73636,                  0.801,                0.55866,                 1.1914,                 1.1776,                 1.7083,              0.0006438,              0.0006438,              0.0006438
                     65,                0.90721,                0.82022,                 1.3502,                0.76508,                0.69505,                0.73225,                 0.4611,                 1.2504,                 1.2824,                 1.8103,             0.00062729,             0.00062729,             0.00062729
                     66,                0.92693,                0.83593,                 1.3794,                0.71085,                 0.8036,                0.81416,                0.56868,                 1.0874,                 1.0895,                 1.6516,             0.00061079,             0.00061079,             0.00061079
                     67,                0.90525,                0.83807,                 1.3725,                0.85393,                0.73607,                0.81273,                0.56153,                 1.1984,                 1.1932,                 1.7938,             0.00059429,             0.00059429,             0.00059429
                     68,                0.93596,                0.86236,                 1.3845,                0.85087,                0.76393,                0.79951,                0.57073,                 1.0722,                 1.0812,                 1.6223,             0.00057778,             0.00057778,             0.00057778
                     69,                0.92585,                0.81435,                 1.4035,                0.82455,                0.75459,                0.83879,                0.55629,                 1.2428,                 1.0443,                 1.8156,             0.00056128,             0.00056128,             0.00056128
                     70,                0.89688,                 0.7795,                 1.3182,                0.86194,                 0.7901,                0.83488,                0.59134,                 1.0844,                0.95976,                 1.6476,             0.00054478,             0.00054478,             0.00054478
                     71,                0.89253,                0.82656,                 1.3579,                0.88063,                0.77542,                0.86411,                0.60167,                 1.1169,                 1.0277,                 1.6676,             0.00052827,             0.00052827,             0.00052827
                     72,                0.90064,                0.79041,                 1.3421,                0.89175,                0.73762,                0.84605,                0.56441,                 1.2321,                 1.0751,                 1.8163,             0.00051177,             0.00051177,             0.00051177
                     73,                0.87456,                0.76489,                 1.3376,                0.84198,                0.74923,                0.82604,                0.57784,                 1.1339,                 1.0534,                 1.7009,             0.00049527,             0.00049527,             0.00049527
